Family,FoodExpenditure,Income,FamilySize,YearsOfEducationHH,GenderHH
1, 6100, 27000, 4, 9, 0
2, 5100, 26000, 4, 9, 0
3, 5800, 30000, 4, 10, 0	
4, 5100, 24000, 4, 9, 0
5, 9300, 54000, 4, 12, 1
6, 9800, 59000, 2, 12, 1
7, 7800, 44000, 3, 10, 1
8, 5800, 30000, 3, 9, 0
9, 7500, 40000, 4, 10, 1
10, 11400, 82000, 2, 15, 1	
11, 6900, 41000, 3, 10, 0
12, 8200, 58000, 3, 11, 1
13, 5700, 28000, 5, 9, 0
14, 6200, 20000, 5, 9, 0
15, 7900, 42000, 3, 11, 0
16, 8100, 47000, 3, 12, 1
17, 13300, 97000, 2, 18, 1 
18, 12900, 85000, 2, 16, 1
19, 6200, 31000, 5, 10, 0
20, 5900, 26000, 4, 9, 0
21, 9200, 53000, 3, 12, 1
22, 7300, 49000, 3, 12, 1
23, 9200, 55000, 3, 12, 1
24, 7400, 40000, 5, 10, 0
25, 9800, 62000, 3, 15, 1
26, 7900, 46000, 4, 11, 1
27, 5900, 38000, 4, 10, 0
28, 7900, 45000, 4, 10, 1
29, 8400, 53000, 3, 11, 1
30, 8900, 49000, 4, 11, 1
31, 8600, 42000, 4, 10, 1
32, 8600, 42000, 5, 12, 0
33, 7500, 38000, 4, 10, 0
34, 13200, 90000, 3, 18, 1 
35, 6900, 41000, 3, 9, 0
