code,date,value
AVBLS,1/2/2009,0.0003
BLCHS,1/2/2009,0
CPTRA,1/2/2009,0
CPTRV,1/2/2009,0
DIFF,1/2/2009,1
ETRAV,1/2/2009,0
ETRVU,1/2/2009,0
MIREV,1/2/2009,0
MKPRU,1/2/2009,0
MKTCP,1/2/2009,0
MWNTD,1/2/2009,0
MWNUS,1/2/2009,2
MWTRV,1/2/2009,0
NADDU,1/2/2009,1
NTRAN,1/2/2009,1
NTRAT,1/2/2009,1
NTRBL,1/2/2009,1
NTREP,1/2/2009,1
TOTBC,1/2/2009,50
TOUTV,1/2/2009,50
TRFEE,1/2/2009,0
TRFUS,1/2/2009,0
TRVOU,1/2/2009,0
ATRCT,1/3/2009,0
AVBLS,1/3/2009,0
BCDDC,1/3/2009,0
BCDDE,1/3/2009,0
BCDDM,1/3/2009,0
BCDDW,1/3/2009,0
BCDDY,1/3/2009,0
BLCHS,1/3/2009,0
CPTRA,1/3/2009,0
CPTRV,1/3/2009,0
DIFF,1/3/2009,0
ETRAV,1/3/2009,0
ETRVU,1/3/2009,0
HRATE,1/3/2009,0
MIOPM,1/3/2009,-2147483648
MIREV,1/3/2009,0
MKPRU,1/3/2009,0
MKTCP,1/3/2009,0
MWNTD,1/3/2009,0
MWNUS,1/3/2009,2
MWTRV,1/3/2009,0
NADDU,1/3/2009,0
NETDF,1/3/2009,0
NTRAN,1/3/2009,0
NTRAT,1/3/2009,1
NTRBL,1/3/2009,1
NTREP,1/3/2009,0
TOTBC,1/3/2009,50
TOUTV,1/3/2009,0
TRFEE,1/3/2009,0
TRFUS,1/3/2009,0
TRVOU,1/3/2009,0
TVTVR,1/3/2009,0
ATRCT,1/4/2009,0
AVBLS,1/4/2009,0
BCDDC,1/4/2009,0
BCDDE,1/4/2009,0
BCDDM,1/4/2009,0
BCDDW,1/4/2009,0
BCDDY,1/4/2009,0
BLCHS,1/4/2009,0
CPTRA,1/4/2009,0
CPTRV,1/4/2009,0
DIFF,1/4/2009,0
ETRAV,1/4/2009,0
ETRVU,1/4/2009,0
HRATE,1/4/2009,0
MIOPM,1/4/2009,0
MIREV,1/4/2009,0
MKPRU,1/4/2009,0
MKTCP,1/4/2009,0
MWNTD,1/4/2009,0
MWNUS,1/4/2009,2
MWTRV,1/4/2009,0
NADDU,1/4/2009,0
NETDF,1/4/2009,0
NTRAN,1/4/2009,0
NTRAT,1/4/2009,1
NTRBL,1/4/2009,1
NTREP,1/4/2009,0
TOTBC,1/4/2009,50
TOUTV,1/4/2009,0
TRFEE,1/4/2009,0
TRFUS,1/4/2009,0
TRVOU,1/4/2009,0
TVTVR,1/4/2009,0
ATRCT,1/5/2009,0
AVBLS,1/5/2009,0
BCDDC,1/5/2009,0
BCDDE,1/5/2009,0
BCDDM,1/5/2009,0
BCDDW,1/5/2009,0
BCDDY,1/5/2009,0
BLCHS,1/5/2009,0
CPTRA,1/5/2009,0
CPTRV,1/5/2009,0
DIFF,1/5/2009,0
ETRAV,1/5/2009,0
ETRVU,1/5/2009,0
HRATE,1/5/2009,0
MIOPM,1/5/2009,0
MIREV,1/5/2009,0
MKPRU,1/5/2009,0
MKTCP,1/5/2009,0
MWNTD,1/5/2009,0
MWNUS,1/5/2009,2
MWTRV,1/5/2009,0
NADDU,1/5/2009,0
NETDF,1/5/2009,0
NTRAN,1/5/2009,0
NTRAT,1/5/2009,1
NTRBL,1/5/2009,1
NTREP,1/5/2009,0
TOTBC,1/5/2009,50
TOUTV,1/5/2009,0
TRFEE,1/5/2009,0
TRFUS,1/5/2009,0
TRVOU,1/5/2009,0
TVTVR,1/5/2009,0
ATRCT,1/6/2009,0
AVBLS,1/6/2009,0
BCDDC,1/6/2009,0
BCDDE,1/6/2009,0
BCDDM,1/6/2009,0
BCDDW,1/6/2009,0
BCDDY,1/6/2009,0
BLCHS,1/6/2009,0
CPTRA,1/6/2009,0
CPTRV,1/6/2009,0
DIFF,1/6/2009,0
ETRAV,1/6/2009,0
ETRVU,1/6/2009,0
HRATE,1/6/2009,0
MIOPM,1/6/2009,0
MIREV,1/6/2009,0
MKPRU,1/6/2009,0
MKTCP,1/6/2009,0
MWNTD,1/6/2009,0
MWNUS,1/6/2009,2
MWTRV,1/6/2009,0
NADDU,1/6/2009,0
NETDF,1/6/2009,0
NTRAN,1/6/2009,0
NTRAT,1/6/2009,1
NTRBL,1/6/2009,1
NTREP,1/6/2009,0
TOTBC,1/6/2009,50
TOUTV,1/6/2009,0
TRFEE,1/6/2009,0
TRFUS,1/6/2009,0
TRVOU,1/6/2009,0
TVTVR,1/6/2009,0
ATRCT,1/7/2009,0
AVBLS,1/7/2009,0
BCDDC,1/7/2009,0
BCDDE,1/7/2009,0
BCDDM,1/7/2009,0
BCDDW,1/7/2009,0
BCDDY,1/7/2009,0
BLCHS,1/7/2009,0
CPTRA,1/7/2009,0
CPTRV,1/7/2009,0
DIFF,1/7/2009,0
ETRAV,1/7/2009,0
ETRVU,1/7/2009,0
HRATE,1/7/2009,0
MIOPM,1/7/2009,0
MIREV,1/7/2009,0
MKPRU,1/7/2009,0
MKTCP,1/7/2009,0
MWNTD,1/7/2009,0
MWNUS,1/7/2009,2
MWTRV,1/7/2009,0
NADDU,1/7/2009,0
NETDF,1/7/2009,0
NTRAN,1/7/2009,0
NTRAT,1/7/2009,1
NTRBL,1/7/2009,1
NTREP,1/7/2009,0
TOTBC,1/7/2009,50
TOUTV,1/7/2009,0
TRFEE,1/7/2009,0
TRFUS,1/7/2009,0
TRVOU,1/7/2009,0
TVTVR,1/7/2009,0
ATRCT,1/8/2009,0
AVBLS,1/8/2009,0.0002
BCDDC,1/8/2009,0
BCDDE,1/8/2009,0
BCDDM,1/8/2009,0
BCDDW,1/8/2009,0
BCDDY,1/8/2009,0
BLCHS,1/8/2009,0
CPTRA,1/8/2009,0
CPTRV,1/8/2009,0
DIFF,1/8/2009,1
ETRAV,1/8/2009,0
ETRVU,1/8/2009,0
HRATE,1/8/2009,0
MIOPM,1/8/2009,0
MIREV,1/8/2009,0
MKPRU,1/8/2009,0
MKTCP,1/8/2009,0
MWNTD,1/8/2009,0
MWNUS,1/8/2009,2
MWTRV,1/8/2009,0
NADDU,1/8/2009,14
NETDF,1/8/2009,0
NTRAN,1/8/2009,14
NTRAT,1/8/2009,15
NTRBL,1/8/2009,1
NTREP,1/8/2009,14
TOTBC,1/8/2009,750
TOUTV,1/8/2009,700
TRFEE,1/8/2009,0
TRFUS,1/8/2009,0
TRVOU,1/8/2009,0
TVTVR,1/8/2009,0
ATRCT,1/9/2009,0
